english,japanese,math,social,science,total
94,58,46,61,46,305
77,73,72,53,74,349
100,95,33,56,31,315
97,53,70,46,72,338
57,40,69,91,74,331
81,62,89,84,93,409
66,86,60,61,60,333
66,79,40,87,38,310
54,48,49,56,50,257
80,36,85,38,89,328
31,45,52,36,51,215
74,59,58,71,57,319
55,85,82,59,85,366
41,33,87,56,91,308
43,61,78,65,80,327
96,64,46,83,44,333
33,30,87,67,91,308
30,38,41,58,41,208
51,91,31,50,30,253
89,96,81,98,84,448
86,80,34,97,34,331
51,53,32,78,30,244
43,56,49,30,49,227
64,59,94,39,100,356
86,82,30,40,29,267
57,100,97,89,100,443
50,70,42,40,41,243
53,79,75,56,78,341
74,85,94,44,98,395
49,57,93,35,98,332
48,95,83,94,83,403
49,77,43,70,44,283
56,68,92,99,95,410
31,86,35,33,31,216
100,77,39,32,38,286
79,65,69,42,70,325
49,59,87,34,90,319
80,55,82,83,84,384
55,79,73,43,75,325
81,55,51,66,50,303
63,63,92,43,97,358
55,39,81,46,83,304
32,90,59,59,59,299
100,97,85,64,90,436
73,50,49,47,51,270
80,97,81,55,84,397
66,34,90,89,93,372
89,85,79,58,82,393
73,82,85,42,87,369
97,36,60,41,61,295
83,46,93,50,97,369
88,91,73,72,75,399
81,76,65,87,67,376
31,46,82,71,83,313
76,55,43,100,42,316
99,61,84,73,88,405
80,81,47,58,46,312
31,64,60,32,60,247
97,86,73,85,76,417
93,79,48,64,47,331
78,39,72,75,74,338
90,38,89,78,92,387
74,64,69,53,70,330
37,81,92,100,96,406
46,99,69,50,70,334
31,84,63,69,63,310
99,98,46,72,46,361
74,49,49,86,46,304
90,79,47,48,46,310
71,84,77,94,80,406
96,37,44,86,44,307
95,58,51,80,49,333
81,72,55,54,55,317
66,33,30,93,27,249
70,46,85,87,89,377
71,82,38,66,34,291
41,68,100,63,100,372
47,68,61,72,62,310
73,33,58,78,59,301
43,81,82,77,86,369
58,50,90,97,93,388
100,66,88,79,91,424
67,66,80,61,83,357
32,72,97,94,100,395
57,70,60,79,61,327
56,74,61,44,62,297
43,83,83,67,85,361
37,42,38,56,35,208
37,49,39,72,38,235
91,82,78,52,83,386
30,42,30,65,28,195
47,56,36,79,35,253
70,82,82,86,84,404
65,32,44,49,44,234
34,30,89,57,92,302
56,39,72,52,73,292
100,82,78,90,80,430
63,47,63,82,64,319
68,98,66,37,67,336
93,30,80,33,82,318
49,36,95,79,98,357
84,95,93,45,97,414
70,81,57,84,58,350
50,93,78,41,81,343
42,69,37,60,36,244
49,100,87,36,91,363
82,42,93,45,96,358
62,39,78,34,81,294
61,91,32,45,29,258
67,30,64,32,67,260
55,70,83,45,84,337
60,44,76,82,79,341
59,54,44,60,42,259
58,60,70,66,70,324
71,41,64,76,66,318
51,52,36,54,34,227
51,71,58,45,57,282
32,56,56,46,55,245
32,63,73,74,76,318
71,92,84,40,89,376
36,81,40,32,39,228
72,66,36,82,32,288
56,91,74,47,76,344
85,84,95,87,98,449
56,74,37,95,35,297
74,37,66,57,68,302
82,76,54,94,54,360
38,96,91,88,96,409
96,70,90,92,92,440
75,31,69,59,70,304
91,53,52,99,51,346
38,99,100,65,100,402
63,68,72,97,73,373
35,70,90,67,94,356
75,92,99,86,100,452
30,65,70,42,72,279
30,49,75,78,78,310
31,41,44,88,43,247
70,55,86,56,88,355
57,98,44,90,44,333
43,42,91,35,94,305
61,43,55,60,56,275
74,92,58,66,59,349
30,88,36,96,36,286
78,43,91,100,95,407
66,74,94,89,98,421
85,71,87,96,90,429
66,63,82,81,86,378
31,79,99,35,100,344
78,44,98,36,100,356
78,30,44,90,42,284
73,84,41,47,40,285
75,37,33,61,30,236
58,83,49,54,47,291
36,86,31,34,28,215
64,77,100,88,100,429
65,33,93,84,97,372
57,46,69,96,71,339
37,69,91,46,95,338
72,33,64,35,65,269
87,97,89,70,90,433
64,53,78,78,79,352
95,65,45,93,44,342
57,53,100,98,100,408
39,98,68,100,69,374
44,69,90,77,94,374
95,87,50,83,50,365
54,33,46,61,45,239
37,78,76,71,76,338
89,55,62,41,62,309
75,66,39,98,39,317
47,35,94,93,98,367
97,97,55,59,54,362
37,86,55,72,55,305
61,69,67,50,68,315
39,43,79,96,81,338
64,31,44,85,44,268
68,59,87,35,91,340
98,82,80,60,82,402
55,41,59,82,62,299
43,61,69,79,70,322
71,69,88,56,91,375
88,97,38,86,36,345
92,100,97,79,100,468
36,90,64,39,65,294
41,68,86,56,90,341
92,46,57,71,56,322
76,73,73,75,75,372
57,61,34,69,31,252
58,44,36,47,34,219
58,65,90,80,94,387
90,87,35,46,33,291
33,80,44,97,43,297
55,54,94,67,98,368
49,35,52,50,51,237
58,84,81,86,82,391
62,54,70,66,71,323
64,92,52,64,53,325
81,44,72,64,74,335
93,75,49,40,48,305
85,56,56,74,57,328
65,49,65,75,64,318
82,73,62,64,62,343
65,57,41,78,40,281
39,66,69,30,70,274
46,78,69,84,71,348
50,76,86,60,89,361
93,95,91,56,93,428
56,95,82,90,86,409
41,93,38,98,37,307
62,44,39,63,38,246
30,64,41,32,41,208
67,77,89,35,91,359
42,85,30,67,27,251
32,86,59,49,60,286
67,95,65,59,66,352
85,55,75,66,78,359
92,45,84,92,88,401
93,69,83,70,85,400
73,53,45,77,44,292
82,98,68,87,68,403
75,91,84,69,88,407
61,77,97,90,100,425
89,32,94,64,97,376
78,61,88,86,91,404
62,40,38,61,36,237
91,61,35,91,34,312
52,64,75,90,78,359
37,97,86,77,89,386
86,53,80,60,81,360
30,100,89,40,90,349
59,49,84,99,89,380
69,43,76,43,79,310
63,49,35,100,33,280
56,98,46,52,44,296
52,75,74,88,74,363
65,33,74,66,75,313
78,75,80,50,81,364
46,67,77,70,79,339
100,37,52,46,52,287
64,83,78,87,80,392
63,35,67,52,68,285
89,30,35,68,32,254
98,59,66,62,67,352
89,50,43,49,41,272
44,74,33,37,32,220
43,64,68,71,69,315
94,79,43,41,41,298
94,50,85,80,87,396
94,47,70,73,70,354
99,47,78,96,79,399
82,66,62,94,63,367
39,38,69,51,70,267
71,93,53,50,52,319
78,45,57,37,57,274
69,59,72,74,73,347
62,65,39,63,38,267
68,74,69,32,70,313
80,87,59,44,59,329
55,81,89,34,93,352
46,65,78,72,80,341
75,84,39,67,37,302
87,98,53,31,55,324
67,100,82,30,85,364
91,67,50,44,50,302
63,79,30,61,28,261
60,57,53,68,53,291
96,34,60,47,62,299
80,41,50,87,50,308
38,30,56,88,55,267
71,40,78,79,80,348
50,50,88,92,92,372
35,63,96,45,98,337
38,44,69,48,71,270
46,81,32,96,30,285
59,93,68,67,70,357
42,35,64,75,65,281
87,61,44,66,42,300
48,80,72,32,74,306
80,99,34,33,33,279
65,66,53,59,53,296
63,63,60,31,60,277
61,72,88,65,93,379
79,48,83,81,86,377
38,64,59,76,60,297
54,96,53,83,54,340
82,74,66,38,67,327
33,81,69,58,69,310
80,81,86,34,89,370
74,83,98,77,100,432
36,66,69,32,73,276
40,30,60,96,59,285
32,50,48,43,47,220
33,73,77,85,78,346
89,97,68,77,70,401
78,52,35,62,33,260
78,94,47,61,46,326
47,32,99,70,100,348
55,67,37,33,34,226
42,55,44,31,42,214
69,54,89,49,92,353
32,31,82,49,85,279
96,94,50,43,49,332
53,53,45,31,42,224
75,58,99,77,100,409
92,60,92,78,95,417
43,30,97,92,100,362
55,32,94,51,98,330
74,96,75,71,78,394
85,74,41,86,39,325
79,57,69,65,71,341
55,91,50,61,49,306
46,93,62,97,63,361
62,61,64,54,66,307
30,89,77,39,77,312
80,66,31,79,27,283
55,64,74,100,76,369
38,73,99,87,100,397
65,95,38,77,38,313
76,85,54,58,53,326
92,74,53,43,52,314
97,33,74,97,77,378
91,54,65,42,67,319
65,70,71,45,74,325
33,48,67,33,70,251
42,70,68,35,70,285
51,77,44,80,43,295
65,65,76,89,79,374
59,38,65,36,66,264
36,31,47,42,45,201
61,85,95,77,98,416
64,69,66,94,68,361
72,32,69,94,69,336
64,33,37,65,34,233
51,43,95,78,98,365
39,52,80,30,83,284
100,62,83,60,85,390
74,88,52,77,53,344
83,30,37,68,35,253
95,96,46,72,47,356
65,85,100,60,100,410
36,98,43,68,43,288
64,47,31,87,29,258
40,53,85,68,88,334
54,50,90,45,94,333
71,65,56,82,55,329
49,98,32,95,30,304
90,69,100,95,100,454
100,99,65,38,64,366
48,86,54,40,54,282
96,33,59,82,60,330
49,74,36,95,35,289
42,59,36,51,34,222
63,87,93,81,96,420
75,69,100,56,100,400
78,66,42,86,42,314
33,93,32,39,30,227
87,87,72,82,74,402
67,66,75,73,75,356
80,71,73,68,75,367
83,64,46,95,46,334
34,35,89,73,92,323
49,46,51,79,51,276
91,91,67,76,69,394
33,51,84,39,87,294
65,72,64,91,64,356
58,44,51,57,51,261
62,74,59,94,61,350
55,86,82,89,86,398
90,67,54,62,54,327
50,67,65,40,65,287
57,47,81,76,83,344
36,52,47,92,45,272
84,42,95,54,100,375
90,80,35,64,33,302
49,96,82,57,84,368
55,40,69,86,70,320
85,85,63,72,65,370
90,40,37,82,34,283
78,88,37,38,35,276
93,60,37,33,35,258
86,78,48,92,47,351
34,49,99,94,100,376
36,79,93,67,97,372
32,87,84,59,87,349
68,77,43,36,43,267
85,80,48,57,47,317
51,77,30,67,26,251
41,81,35,74,33,264
35,77,85,73,88,358
70,85,61,59,60,335
48,33,35,38,32,186
78,50,40,67,39,274
65,71,40,60,38,274
100,52,67,34,69,322
45,73,59,54,59,290
87,65,34,60,30,276
95,98,62,69,62,386
90,97,78,60,77,402
56,57,68,99,72,352
100,53,65,50,66,334
30,88,38,68,37,261
79,40,46,76,47,288
46,50,70,57,71,294
91,61,64,58,65,339
80,45,90,64,94,373
65,60,37,32,34,228
88,75,44,67,42,316
57,88,61,65,62,333
74,46,89,69,91,369
44,97,83,96,85,405
97,46,71,60,74,348
83,55,67,80,66,351
72,93,39,60,37,301
36,81,72,40,74,303
76,58,82,53,84,353
31,41,69,54,70,265
96,84,43,62,43,328
72,97,89,98,92,448
93,43,70,58,72,336
67,65,82,53,87,354
78,49,82,37,85,331
45,32,97,99,100,373
58,72,92,32,95,349
53,47,100,73,100,373
36,69,77,72,79,333
73,59,96,71,100,399
99,47,89,95,92,422
39,82,62,74,61,318
66,95,49,50,49,309
82,95,97,61,99,434
59,57,63,82,65,326
30,64,78,39,81,292
71,100,38,82,36,327
89,90,59,95,60,393
54,59,36,81,32,262
43,97,48,80,48,316
49,34,30,49,27,189
85,56,55,52,56,304
65,63,31,64,29,252
41,37,36,49,35,198
69,55,97,45,100,366
53,79,31,93,29,285
51,47,75,65,76,314
73,35,74,96,74,352
30,87,88,75,92,372
74,83,64,31,68,320
64,74,50,89,50,327
56,100,99,32,100,387
48,39,44,34,43,208
71,31,69,97,71,339
38,35,41,63,40,217
89,73,40,33,38,273
64,63,66,75,66,334
58,99,85,61,89,392
62,51,72,86,74,345
99,32,41,31,40,243
54,74,40,83,40,291
93,85,79,54,82,393
39,55,31,70,29,224
89,53,90,41,93,366
63,31,39,57,38,228
30,63,45,43,44,225
79,91,67,93,68,398
80,77,34,41,33,265
72,44,62,62,63,303
73,31,50,49,50,253
56,69,99,77,100,401
59,38,31,63,29,220
92,30,80,70,82,354
66,94,52,48,52,312
70,89,42,58,42,301
85,58,30,91,29,293
34,36,37,44,35,186
38,54,72,83,77,324
91,93,63,76,63,386
83,97,45,39,44,308
62,47,31,81,28,249
55,81,100,71,100,407
59,69,36,95,33,292
31,84,38,99,38,290
44,91,74,32,77,318
80,86,36,86,36,324
44,76,61,93,62,336
75,77,70,50,72,344
78,39,55,42,55,269
77,39,58,38,58,270
50,53,33,41,30,207
55,84,86,73,88,386
82,32,40,57,38,249
34,35,73,44,74,260
37,56,47,65,46,251
82,95,32,67,30,306
62,58,87,48,90,345
45,36,69,98,70,318
69,69,71,77,73,359
68,42,41,35,41,227
87,87,89,98,93,454
46,88,32,65,30,261
93,54,51,36,50,284
66,41,43,57,42,249
96,83,30,65,28,302
96,44,47,74,45,306
41,38,99,30,99,307
46,86,69,86,69,356
62,99,97,73,100,431
57,78,92,80,94,401
88,97,70,30,73,358
70,44,30,90,27,261
98,50,58,62,58,326
48,63,98,40,100,349
78,99,77,57,79,390
55,30,59,52,61,257
30,54,75,84,77,320
35,76,55,83,55,304
42,42,49,35,49,217
65,43,73,89,75,345
87,50,37,74,35,283
85,68,90,57,92,392
60,59,49,69,49,286
59,39,71,52,73,294
96,62,68,90,70,386
95,58,46,61,44,304
67,51,64,58,65,305
76,47,69,77,71,340
40,84,60,71,62,317
45,83,93,43,96,360
73,36,67,51,69,296
37,99,99,93,100,428
72,84,68,59,69,352
63,68,38,31,36,236
85,62,61,66,63,337
63,67,41,57,39,267
52,70,43,41,41,247
46,57,93,79,98,373
34,63,65,72,66,300
91,42,46,35,46,260
41,78,92,59,97,367
92,86,79,74,81,412
81,40,42,94,40,297
34,76,52,67,52,281
30,62,45,62,42,241
30,75,74,49,77,305
31,45,85,76,87,324
52,71,30,58,28,239
78,39,75,70,77,339
38,99,36,87,34,294
54,79,63,46,63,305
96,98,37,67,36,334
86,56,89,40,94,365
94,54,89,64,93,394
49,30,30,75,28,212
52,70,53,35,53,263
82,84,71,70,73,380
75,31,36,46,36,224
81,81,75,64,77,378
46,92,32,97,28,295
80,87,62,31,64,324
40,30,75,91,78,314
96,69,55,55,55,330
83,100,35,46,33,297
98,94,83,35,86,396
32,95,84,79,87,377
85,49,84,88,87,393
63,55,79,73,82,352
81,70,75,78,77,381
89,82,76,74,78,399
34,77,81,30,83,305
32,80,42,61,41,256
49,62,89,56,92,348
52,38,58,35,59,242
50,64,74,31,76,295
37,38,61,51,60,247
59,32,78,37,81,287
53,77,77,86,80,373
64,80,84,81,87,396
60,49,65,84,66,324
72,55,67,42,67,303
57,95,86,35,90,363
34,72,64,87,65,322
70,43,73,48,75,309
67,81,61,35,62,306
33,89,30,36,28,216
45,40,59,63,59,266
58,39,87,89,91,364
76,55,69,97,72,369
83,74,95,92,98,442
78,35,72,39,75,299
40,65,86,60,88,339
55,85,53,82,54,329
65,61,80,49,82,337
96,55,82,71,85,389
43,51,92,100,98,384
81,30,89,40,92,332
89,98,73,80,75,415
32,89,97,61,100,379
84,33,41,32,39,229
75,43,81,75,84,358
68,47,40,59,39,253
63,81,80,75,80,379
72,30,76,79,80,337
62,46,43,86,42,279
65,69,89,60,92,375
33,72,32,87,30,254
48,47,85,66,89,335
78,60,86,31,90,345
95,73,46,79,46,339
93,79,62,65,64,363
93,52,49,35,47,276
86,65,60,84,61,356
97,38,79,42,80,336
58,67,93,86,96,400
97,59,60,89,60,365
80,61,39,74,38,292
89,82,87,35,92,385
89,33,54,64,54,294
36,49,91,77,96,349
54,41,86,31,90,302
44,98,58,61,60,321
35,100,62,49,62,308
71,99,70,50,70,360
57,47,95,94,97,390
43,77,36,39,33,228
96,58,30,55,26,265
93,83,84,49,87,396
50,54,38,31,38,211
95,73,85,57,88,398
54,51,70,73,72,320
75,54,40,77,38,284
97,50,68,77,69,361
79,38,50,49,49,265
45,70,97,42,100,354
45,94,67,99,69,374
77,78,89,93,93,430
59,35,81,68,84,327
40,59,83,33,84,299
65,71,47,42,46,271
45,87,37,62,36,267
37,55,97,46,100,335
46,62,76,51,79,314
42,31,35,62,36,206
48,91,68,81,69,357
77,34,36,98,33,278
94,57,38,61,36,286
43,34,32,99,30,238
50,74,42,56,41,263
98,86,63,70,66,383
45,92,45,46,43,271
91,34,100,55,100,380
47,54,52,73,51,277
46,64,45,32,45,232
48,85,74,65,75,347
56,74,95,54,100,379
51,89,84,33,87,344
61,98,77,48,79,363
75,100,99,37,100,411
98,44,45,71,46,304
55,40,52,51,52,250
63,57,65,97,65,347
46,75,72,43,73,309
58,51,95,89,99,392
47,84,39,60,37,267
94,58,54,34,55,295
71,35,50,83,49,288
97,58,80,81,81,397
80,77,41,55,40,293
33,53,31,86,28,231
53,61,82,95,86,377
62,38,99,79,100,378
65,70,83,49,86,353
66,70,54,40,54,284
69,82,51,99,51,352
61,32,90,76,92,351
43,86,64,43,65,301
99,99,95,95,100,488
47,43,44,32,43,209
36,51,45,76,44,252
80,84,47,76,46,333
74,99,95,49,99,416
99,52,32,46,31,260
69,96,92,95,95,447
61,31,49,41,48,230
79,88,75,76,77,395
99,75,67,89,68,398
97,81,58,63,57,356
96,87,98,40,100,421
41,66,63,59,64,293
43,48,57,83,56,287
74,58,59,74,59,324
41,47,47,58,47,240
35,46,47,78,46,252
57,95,54,92,52,350
41,32,47,57,46,223
30,66,56,31,55,238
68,42,66,83,67,326
51,65,95,41,100,352
42,41,31,36,27,177
92,65,37,35,37,266
81,44,57,90,56,328
75,51,60,82,62,330
63,62,55,95,55,330
80,59,77,48,79,343
91,37,59,56,60,303
76,50,37,84,34,281
83,65,56,73,57,334
71,59,81,68,84,363
68,71,44,83,42,308
55,72,80,98,84,389
56,75,36,82,33,282
55,69,71,51,73,319
91,86,34,77,31,319
90,40,94,43,97,364
93,62,77,80,79,391
59,85,73,96,75,388
61,45,62,83,63,314
63,47,30,92,27,259
39,50,53,47,53,242
59,53,84,48,88,332
41,81,64,58,64,308
78,98,72,59,74,381
77,85,48,50,46,306
45,40,57,54,57,253
40,89,52,46,52,279
34,93,69,36,70,302
68,52,41,55,39,255
60,52,32,38,28,210
30,66,84,36,86,302
65,70,64,77,65,341
96,30,99,96,100,421
76,44,41,55,40,256
38,79,99,33,100,349
40,71,42,41,42,236
57,34,67,55,68,281
88,73,61,56,61,339
53,59,57,41,57,267
94,48,76,33,79,330
80,62,52,76,51,321
77,58,64,37,65,301
38,32,97,100,100,367
85,80,75,42,75,357
31,59,66,58,68,282
99,44,67,49,67,326
48,65,56,95,56,320
59,42,90,65,94,350
45,57,99,45,100,346
66,48,100,80,100,394
67,50,46,78,45,286
56,83,58,47,58,302
52,95,83,52,84,366
49,42,47,93,44,275
81,84,41,70,39,315
89,100,42,96,41,368
31,62,100,62,100,355
80,46,47,62,46,281
94,54,85,36,88,357
56,63,49,100,49,317
83,33,89,71,91,367
72,40,51,66,51,280
93,52,31,49,29,254
37,91,76,46,80,330
48,32,97,31,99,307
88,71,98,78,100,435
66,99,62,35,62,324
68,65,94,64,98,389
45,30,30,57,29,191
91,92,88,35,91,397
52,65,57,62,57,293
50,67,39,61,37,254
69,86,68,80,69,372
56,51,30,100,29,266
53,81,94,32,98,358
